material_number,region,fiscal_month_id,PCF_amt,PCF_units
0021036003,EMEA,2023M10,4238.816591,55574.68321
0021036003,EMEA,2023M11,4365.347816,57752.32152
0021036003,EMEA,2023M12,4357.394622,57615.44465
0021036003,EMEA,2023M7,3893.518207,49632
0021036003,EMEA,2023M8,4415.172739,58609.82245
0021036003,EMEA,2023M9,4282.414283,56325.01183
0021036003,EMEA,2024M1,4219.020357,55197.81927
0021036003,EMEA,2024M10,4122.855046,53557.28681
0021036003,EMEA,2024M11,4206.893296,54995.66988
0021036003,EMEA,2024M12,3928.011761,50217.55957
0021036003,EMEA,2024M2,4291.848,56444.185
0021036003,EMEA,2024M3,4150.616653,54028.82782
0021036003,EMEA,2024M4,4019.210124,51961.81335
0021036003,EMEA,2024M5,4353.965501,57506.51046
0021036003,EMEA,2024M6,4161.943429,54226.31632
0021036003,EMEA,2024M7,4058.782115,52271.07291
0021036003,EMEA,2024M8,4051.862935,52597.03505
0021036003,EMEA,2024M9,4223.758264,55279.72308
0021036003,AMER,2023M10,859.80614,10926.35932
0021036003,AMER,2023M11,859.806139,10926.35932
0021036003,AMER,2023M12,1310.063648,17845.30808
0021036003,AMER,2023M7,650.770048,8269.942568
0021036003,AMER,2023M8,650.770049,8269.942567
0021036003,AMER,2023M9,650.770048,8269.942564
0021036003,AMER,2024M1,1204.717012,16515.39603
0021036003,AMER,2024M10,894.198385,11363.41369
0021036003,AMER,2024M11,894.198383,11363.41369
0021036003,AMER,2024M12,1460.435741,18559.1204
0021036003,AMER,2024M2,751.139873,9545.435629
0021036003,AMER,2024M3,751.139872,9545.435627
0021036003,AMER,2024M4,616.599708,7835.708162
0021036003,AMER,2024M5,616.599708,7835.708159
0021036003,AMER,2024M6,616.599708,7835.708158
0021036003,AMER,2024M7,676.800851,8600.74027
0021036003,AMER,2024M8,676.800851,8600.740269
0021036003,AMER,2024M9,676.800851,8600.740266
0021036015,EMEA,2023M10,128.119005,4545
0021036015,EMEA,2023M11,128.119005,4545
0021036015,EMEA,2023M12,128.119005,4545
0021036015,EMEA,2023M7,128.119005,4545
0021036015,EMEA,2023M8,128.119005,4545
0021036015,EMEA,2023M9,128.119005,4545
0021036015,EMEA,2024M1,128.119005,4545
0021036015,EMEA,2024M10,128.119005,4545
0021036015,EMEA,2024M11,128.119005,4545
0021036015,EMEA,2024M12,128.119005,4545
0021036015,EMEA,2024M2,128.119005,4545
0021036015,EMEA,2024M3,128.119005,4545
0021036015,EMEA,2024M4,128.119005,4545
0021036015,EMEA,2024M5,128.119005,4545
0021036015,EMEA,2024M6,128.119005,4545
0021036015,EMEA,2024M7,128.119005,4545
0021036015,EMEA,2024M8,128.119005,4545
0021036015,EMEA,2024M9,128.119005,4545
0021036034,EMEA,2023M10,272.208634,6678
0021036034,EMEA,2023M11,272.208634,6678
0021036034,EMEA,2023M12,272.208634,6678
0021036034,EMEA,2023M7,272.208634,6678
0021036034,EMEA,2023M8,272.208632,6678
0021036034,EMEA,2023M9,272.208634,6678
0021036034,EMEA,2024M1,272.208633,6678
0021036034,EMEA,2024M10,272.208634,6678
0021036034,EMEA,2024M11,272.208633,6678
0021036034,EMEA,2024M12,272.208635,6678
0021036034,EMEA,2024M2,272.208633,6678
0021036034,EMEA,2024M3,272.208634,6678
0021036034,EMEA,2024M4,272.208634,6678
0021036034,EMEA,2024M5,272.208633,6678
0021036034,EMEA,2024M6,272.208635,6678
0021036034,EMEA,2024M7,272.208633,6678
0021036034,EMEA,2024M8,272.208633,6678
0021036034,EMEA,2024M9,272.208634,6678
0081930005,EMEA,2023M10,17459.38092,400906
0081930005,EMEA,2023M11,17459.38091,400906
0081930005,EMEA,2023M12,17459.38091,400906
0081930005,EMEA,2023M7,17459.38091,400906
0081930005,EMEA,2023M8,17459.38091,400906
0081930005,EMEA,2023M9,17459.38091,400906
0081930005,EMEA,2024M1,17459.38091,400906
0081930005,EMEA,2024M10,17459.38091,400906
0081930005,EMEA,2024M11,17459.38091,400906
0081930005,EMEA,2024M12,17459.38092,400906
0081930005,EMEA,2024M2,17459.38091,400906
0081930005,EMEA,2024M3,17459.38092,400906
0081930005,EMEA,2024M4,17459.38092,400906
0081930005,EMEA,2024M5,17459.38091,400906
0081930005,EMEA,2024M6,17459.38092,400906
0081930005,EMEA,2024M7,17459.38092,400906
0081930005,EMEA,2024M8,17459.38091,400906
0081930005,EMEA,2024M9,17459.38092,400906
0146662002,AMER,2023M10,173.783376,78
0146662002,AMER,2023M11,173.783374,78
0146662002,AMER,2023M12,173.783376,78
0146662002,AMER,2023M7,173.783376,78
0146662002,AMER,2023M8,173.783374,78
0146662002,AMER,2023M9,173.783376,78
0146662002,AMER,2024M1,180.734708,81.12
0146662002,AMER,2024M10,180.734708,81.12
0146662002,AMER,2024M11,180.734707,81.12
0146662002,AMER,2024M12,180.734708,81.12
0146662002,AMER,2024M2,180.734707,81.12
0146662002,AMER,2024M3,180.734708,81.12
0146662002,AMER,2024M4,180.734708,81.12
0146662002,AMER,2024M5,180.734707,81.12
0146662002,AMER,2024M6,180.734708,81.12
0146662002,AMER,2024M7,180.734708,81.12
0146662002,AMER,2024M8,180.734707,81.12